review,translated_review,clean_text,sentiment
"I visited de.u Coffee on a public holiday, and it was packed with people! The flow of customers was nonstop. Overall, I really liked the vibe, it’s cozy and cool, perfect for chilling. Their signature coffee is absolutely delicious! I’d give it a 10/10! I also tried their pizza, but it was way too big for me to finish alone (haha). The staff were super friendly and helpful, especially when I was a bit confused about where to sit (you’ll get it when you visit). However, I wouldn’t recommend coming here to work if you need to focus, it’s just too crowded for that. Another downside is the flies, there were quite a few of them :( I understand it’s probably because the place is mostly outdoors, but it was still a bit annoying. Overall, I’ll definitely come back, but only to hang out and enjoy the atmosphere, not for working!""","Saya mengunjungi de.u Coffee pada hari libur nasional, dan tempatnya penuh sesak! Pelanggannya tidak pernah berhenti. Secara keseluruhan, saya sangat menyukai suasananya, nyaman dan sejuk, cocok untuk bersantai. Kopi khas mereka benar-benar lezat! Saya akan memberi nilai 10/10! Saya juga mencoba pizza mereka, tetapi terlalu besar untuk saya habiskan sendiri (haha). Stafnya sangat ramah dan membantu, terutama ketika saya agak bingung harus duduk di mana (Anda akan mendapatkannya saat berkunjung). Namun, saya tidak akan merekomendasikan datang ke sini untuk bekerja jika Anda perlu berkonsentrasi, tempat ini terlalu ramai untuk itu. Kekurangan lainnya adalah lalat, jumlahnya cukup banyak :( Saya mengerti mungkin karena tempat ini sebagian besar berada di luar ruangan, tetapi tetap saja agak mengganggu. Secara keseluruhan, saya pasti akan kembali, tetapi hanya untuk nongkrong dan menikmati suasananya, bukan untuk bekerja!""",unjung deh lu coffee libur nasional tempat penuh sesak langgan henti suka suasana nyaman sejuk cocok santa kopi khas lezat nilai coba pizza habis haha staf ramah bantu bingung duduk dapat kunjung rekomendasi konsentrasi ramai kurang lalat erti ruang ganggu nongkrong nikmat suasana,Positive
"Mix plater keluar 1,5jam.. nasi goreng keluarnya 3jam… parah bgt ini","Mix plater keluar 1,5jam.. nasi goreng keluarnya 3jam… parah bgt ini",mix plater jam nasi goreng keluar jam parah banget,Negative
Kurang hot kalau pesen panas!,Kurang panas kalau pesen panas!,panas pesan panas,Negative
rekomendasi banget buat yang pen nongki cantikkkk boleh coba kesini tempatnya luas pelayannya semua ramah makanan and minumannya enak luppp pokonyaaaaa jan lupa cobain😍😍😍,rekomendasi banget buat yang pen nongki cantikkkk boleh coba kesini tempatnya luas pelayannya semua ramah makanan dan minumannya enak luppp pokonyaaaaa jan lupa cobain😍😍😍,rekomendasi banget pengin nongki cantik coba kesini tempat luas layan ramah makan minum enak luppp pokonyaaaaa lupa coba,Positive
Azzam baik banget,Azzam bagus banget,azzam bagus banget,Positive
mantap mas ojann good service,mantap mas ojann pelayanannya bagus,mantap mas ojann layan bagus,Positive
"Nice, good vibes","Bagus, getaran yang baik",bagus getar,Positive
"All good here, such a good choice to hangout here. Great job!","Semuanya baik-baik saja di sini, pilihan yang tepat untuk nongkrong di sini. Kerja bagus!",pilih nongkrong kerja bagus,Positive
"Makanan enak saya pesen chicken salted egg, tapi jujur untuk sausnya kurang banyak dan hanya menyelimuti si ayamnya saja, untuk minuman mid tidak terlalu bagaimana, hanya saja untuk akses ke de.u cafe di Dago untuk pemula saran saya lebih baik de.u yg di Mekarwangi atau cabang lainnya","Makanan enak saya pesen ayam telur asin, tapi jujur ​​untuk sausnya kurang banyak dan hanya mengacaukan si ayamnya saja, untuk minuman mid tidak terlalu bagaimana, hanya saja untuk akses ke de.u cafe di Dago untuk pemula saran saya lebih baik de.u yg di Mekarwangi atau cabang lainnya",makan enak pesan ayam telur asin jujur saus acau sih ayam minum mid akses deh lu cafe dago mula saran deh lu mekarwangi cabang,Positive
"Waktu datang masih its okey harus waiting list, ternyata dari awal ga dikasih tau kalau tempatnya memang diwaktu. Tiba tiba di todong sama bill langsung dipemberitahuan kalau waktunya udah habis😂 jadi sorry gr nya aku ubah karna ga ekspek kaya di usir wkwk","Waktu datang masih its okey harus waiting list, ternyata dari awal ga dikasih tau kalau tempatnya memang diwaktu. Tiba tiba di todong sama bill langsung dipemberitahuan kalau waktunya sudah habis😂 jadi maaf gr nya aku ubah karna ga ekspek kaya di usir wkwk",its okey waiting list kasih tau tempat waktu todong bill langsung dipemberitahuan habis maaf gr nya ubah ekspek kayak usir wkwk,Negative
Pelayanan baik dan ramah terutama mas reza dan mas utuy melayani dengan maksimal.,Pelayanan baik dan ramah terutama mas reza dan mas utuy melayani dengan maksimal.,layan ramah mas reza mas utuy layan maksimal,Positive
pelayanan de u coffe bagus dan pelayanan ka esa juga bagus,pelayanan de u coffe bagus dan pelayanan ka esa juga bagus,layan deh lu coffe bagus layan kak esa bagus,Positive
"pelayanan di deu patiukir the besttt, pelayanan kak esaa juga kerennnn👍","pelayanan di deu patiukir the besttt, pelayanan kak esaa juga kerennnn👍",layan deu patiukir the besttt layan kak esaa keren,Positive
Best banget sih kopi nyaa Risoll nya juga enakk bgt Pelayanan nya best 🤩,Best banget sih kopi nyaa Risoll nya juga enakk bgt Pelayanannya best 🤩,best banget sih kopi nya risoll nya enakk banget layan best,Positive
"Makanan nya enak banget,tempat nya bener bener nyaman,sering kesini juga karna enak banget, apa lagi pelayanan sama KA Ojan nya good bener😍😍🤩","Makanannya enak banget,tempatnya bener bener nyaman,sering kesini juga karna enak banget, apa lagi pelayanan sama KA Ojan nya bagus bener😍😍🤩",makan enak banget tempat nyaman kesini enak banget layan kak ojan nya bagus,Positive
Tempat nya nyaman banget,Tempatnya nyaman banget,tempat nyaman banget,Positive
"Ambience yang bagussss bersih bikin nyaman, cuma banyak lalat bikin gangu, Saya pesan cranberry kurang panas bagian luar panas bagian dalam masi dingin.","Ambience yang bagussss bersih bikin nyaman, cuma banyak lalat bikin gangu, Saya pesan cranberry kurang panas bagian luar panas bagian dalam masi dingin.",ambience bagus bersih bikin nyaman lalat bikin gangu pesan cranberry panas panas dingin,Positive
pelayanan baikkk!!!! ka Angga nyaa ramahhhhhh,pelayanan baikkk!!!! ka Angga nyaa ramahhhhhh,layan baikkk kak angga nya ramahhhhhh,Positive
"Pesen signature drinks nya yg kopi susu de.u, kombucha dan croissant almond nya. Kopi susunya enak walau sayang sekali engga bisa less sugar, jadi masih dirasa terlalu manis. Kombucha nya seger, asem-manis. Croissant nya oke, butter nya cukup berasa. Ambience enak banget. Space cukup lah yaa.","Pesen minuman khasnya yg kopi susu de.u, kombucha dan croissant almond nya. Kopi susunya enak meski sayang sekali engga bisa less sugar, jadi masih dirasa terlalu manis. Kombuchanya seger, asem-manis. Croissantnya oke, butternya cukup berasa. Suasana enak banget. Ruang cukup lah yaa.",pesan minum khas kopi susu deh lu kombucha croissant almond nya kopi susu enak sayang less sugar rasa manis kombuchanya segar asem manis croissantnya oke butternya asa suasana enak banget ruang ya,Positive
"Hip coffee place (chain) with EDM music. We didn't try the coffee for fear of difficulty sleeping but otherwise teas, juice, mocktail were okay. Food was served rather quickly and service crews were accommodating. Most of the visitors were local youngsters. Wifi and power plugs are available like most of Indonesia's cafes. Visit at night for the best view. Rooftop tables. Place reeks of cigarettes as almost all visitors smoke there, point of note for those visiting.","Kedai kopi trendi (rantai) dengan musik EDM. Kami tidak mencoba kopi karena takut susah tidur, tetapi teh, jus, mocktailnya lumayan. Makanan disajikan cukup cepat dan staf layanannya membantu. Sebagian besar pengunjung adalah anak muda setempat. Tersedia Wi-Fi dan colokan listrik seperti kebanyakan kafe di Indonesia. Kunjungi pada malam hari untuk mendapatkan pemandangan terbaik. Meja di atap. Tempat ini berbau rokok karena hampir semua pengunjung merokok di sana, hal yang perlu diperhatikan bagi mereka yang berkunjung.",kedai kopi trendi rantai musik edm coba kopi takut susah tidur teh jus mocktailnya lumayan makan saji cepat staf layan bantu unjung anak muda sedia wi colok listrik banyak kafe indonesia kunjung malam pandang baik meja atap bau rokok unjung rokok perhati kunjung,Positive
"Tempat nya enakeun, pelayanan ramah , fasilitas bagus bersih , maknan nya enak Rekomended sih di jamin gak nyesel","Tempatnya enakeun, pelayanan ramah , fasilitas bagus bersih , maknannya enak Rekomended sih di jamin gak nyesel",tempat enakeun layan ramah fasilitas bagus bersih maknannya enak rekomended sih jamin sesal,Positive
"Sering kesini tempatnya nyaman gak berisik enak buat nugas,belajar, sama kerja","Sering kesini tempatnya nyaman gak berisik enak buat nugas,belajar, sama kerja",kesini tempat nyaman berisik enak nugas ajar kerja,Negative
"Tempatnya asik banget, makanannya ok 😍","Tempatnya asik banget, makanannya ok 😍",tempat asik banget makan ok,Positive
"Here with my boyfriend and my bestfriend, nasi gorengnya agak kurang, tempatnya cozy dan nyaman.","Di sini bersama pacar dan sahabatku, nasi gorengnya agak kurang, tempatnya nyaman dan nyaman.",pacar sahabat nasi goreng tempat nyaman nyaman,Positive
bagus nyaman barista nya asik bgtt,bagus nyaman barista nya asik bgtt,bagus nyaman barista nya asik banget,Positive
"pelayanan nya bagus, barista nya asik bgt, makanan sama kopinya enakkkk","pelayanannya bagus, barista nya asik bgt, makanan sama kopinya enakkkk",layan bagus barista nya asik banget makan kopi enakkkk,Positive
"Alhamdulillah ada cold pressed juice yang enak.. suasana nyaman, layanan cepat..","Alhamdulillah ada cold pressed juice yang enak.. suasana nyaman, layanan cepat..",alhamdulillah cold pressed juice enak suasana nyaman layan cepat,Positive
"Foods, drinks, and vibes are so good!","Makanan, minuman, dan suasananya sangat menyenangkan!",makan minum suasana senang,Positive
tempatnyaa cozyyy,tempatnya cozyyy,tempat cozyyy,Positive
Eat with view,Makan sambil melihat pemandangan,makan pandang,Negative
"Tolong pindahin lokasi ambil tiket parkirnya , bahaya bgt itu diluar naral mana parkir diatas sempit kasih tau dibawah kalo parkir diatas full jga","Tolong pindah lokasi ambil tiket parkirnya , bahaya bgt itu diluar naral mana parkir diatas sempit kasih tau dibawah kalo parkir diatas full jga",tolong pindah lokasi ambil tiket parkir bahaya banget luar naral parkir atas sempit kasih tau bawah kalo parkir atas full,Negative
"service nya bintang 100 sih, pada ramaahh. jadi nyaman","service nya bintang 100 sih, pada ramaahh. jadi nyaman",service nya bintang sih ramaahh nyaman,Positive
Kita pesen makanan lama banget keluarnya bahkan order steak keluarnya 2 jam .. setelah makananannya keluar raasanya plain bangett.. kurang rasa garam semua.. how bad!!,Kita pesen makanan lama banget keluarnya bahkan order steak keluarnya 2 jam .. setelah makanannya keluar raasanya plain bangett.. kurang rasa garam semua.. jelek banget!!,pesan makan banget keluar order steak keluar jam makan raasanya plain banget garam jelek banget,Negative
"Suasana bagus, managemen food service jelek. 1 jam belum tersajikan. Hujan kudu nunggu lama untuk cari tempat ganti. Ga ada antisipasi. Staff banyak yg belum jelas management kerjanya.","Suasana bagus, manajemen layanan makanan jelek. 1 jam belum tersajikan. Hujan kudu menunggu lama untuk mencari tempat ganti. Ga ada antisipasi. Staf banyak yg belum jelas manajemen kerjanya.",suasana bagus manajemen layan makan jelek jam saji hujan kudu tunggu cari ganti antisipasi staf manajemen kerja,Negative
"makanan minuman enak, harga standar cafe, yang saya pesan nasi sapi sambel hija, iga bakar, mocha (fav), kopi susu, pastry2 enak juga , tempat ada indoor dan colokan aman ac dingin kursi kayu nyaman untuk wfc, area outdoor kalo sore ruame anak nongki2, servisce satpam ramah pol, kakak2 nya juga, akses mudah dalam kota 👍","makanan enak minuman, harga standar cafe, yang saya pesan nasi sapi sambel hija, iga bakar, mocha (fav), kopi susu, pastry2 enak juga , tempat ada indoor dan colokan aman ac dingin kursi kayu nyaman untuk wfc, area outdoor kalo sore ruame anak nongki2, servisce satpam ramah pol, kakak2 nya juga, akses mudah dalam kota 👍",makan enak minum harga standar cafe pesan nasi sapi sambel hija iga bakar mocha favorit kopi susu pastry enak indoor colok aman ac dingin kursi kayu nyaman wfc area outdoor kalo sore ruame anak nongki servisce satpam ramah pol kakak nya akses mudah kota,Positive
"I was looking for coffee shop near Unpad DU, and found this cafe from google map. The food is amazingly nice, nicer than some coffee shops in Braga which just selling the ambience. Place is quite spacious, with outdoor and indoor preference. I walked in before 11am on Saturday, and it was still very quiet.. Good place for reading a book or working when everyone is not around yet.","Saya sedang mencari kedai kopi di dekat Universitas Padjadjaran, dan menemukan kafe ini dari Google Maps. Makanannya sangat lezat, lebih enak daripada beberapa kedai kopi di Braga yang hanya menjual suasana. Tempatnya cukup luas, dengan pilihan outdoor dan indoor. Saya masuk sebelum pukul 11 ​​siang pada hari Sabtu, dan masih sangat sepi. Tempat yang bagus untuk membaca buku atau bekerja saat orang-orang belum ada di sekitar.",cari kedai kopi universitas padjadjaran temu kafe google maps makan lezat enak kedai kopi braga jual suasana tempat luas pilih outdoor indoor masuk siang sabtu sepi bagus baca buku orang orang,Positive
"Kemarin saya mampir ke cabang de.u dago. Ada sedikit kejanggalan dimana saya pesan hot V60 dan waiters bertugas menjawab dengan V60 hot nya kosong dan hanya available yg Ice saja. Sedikit tidak masuk akal untuk penjelasannya, tolong untuk staffnya ditingkatkan lagi mengenai product knowledge nya. Sup tomyum nya dingin, bahkan tidak bisa disebut hangat, nasinya juga kering seperti nasi sisa kemarin. Sayang sekali padahal tempatnya enak dan viewnya bagus.","Kemarin saya mampir ke cabang de.u dago. Ada sedikit kejanggalan dimana saya pesan hot V60 dan pramusaji bertugas menjawab dengan V60 hot nya kosong dan hanya tersedia yg Ice saja. Sedikit tidak masuk akal untuk penjelasannya, tolong untuk stafnya ditingkatkan lagi mengenai pengetahuan produknya. Sup tomyumnya dingin, bahkan tidak bisa disebut hangat, nasinya juga kering seperti nasi sisa kemarin. Sayang sekali padahal tempatnya enak dan viewnya bagus.",kemarin mampir cabang deh lu dago janggal mana pesan hot v pramusaji tugas v hot nya kosong sedia ice masuk akal jelas tolong staf tingkat tahu produk sup tomyumnya dingin hangat nasi kering nasi sisa kemarin sayang tempat enak viewnya bagus,Positive
Makanannnya enak pelayanan mas ojan ramah mantap,Makanannnya enak pelayanan mas ojan ramah mantap,makanannnya enak layan mas ojan ramah mantap,Positive
Coffee was great. Just didn’t like the hassle of having to go to the counter to order in spite of having the menu out and the waiters roaming around.,Kopinya enak. Hanya saja saya tidak suka repotnya harus pergi ke kasir untuk memesan meskipun menu sudah tersedia dan pelayannya banyak.,kopi enak suka repot pergi kasir mes menu sedia layan,Positive
Stafnya ramah mau menjelaskan banyak menu yang kurang familiar di kita. Minuman dan makanannya juga enak. Tempatnya juga baguuus. Cukup instagramable. Toilet bersih dan wangi. Dan terdapat mushola juga.,Stafnya ramah mau menjelaskan banyak menu yang kurang familiar di kita. Minuman dan makanannya juga enak. Tempatnya juga bagusuuus. Cukup instagramable. Toilet bersih dan wangi. Dan terdapat mushola juga.,staf ramah menu familiar minum makan enak tempat bagusuuus instagramable toilet bersih wangi mushola,Positive
Tempatnya enak❤️,Tempatnya enak❤️,tempat enak,Positive
"Tempat nya bagus, nyaman bgt, estetik. Pilihan makan nya jg banyak bervariasi. Pelayan nya ramah2 jugaa 👍🏻👍🏻👍🏻","Tempatnya bagus, nyaman bgt, estetik. Pilihan makannya jg banyak bervariasi. Pelayannya ramah2 jugaa 👍🏻👍🏻👍🏻",tempat bagus nyaman banget estetik pilih makan variasi layan ramah,Positive
Good view good foods,"Pemandangan bagus, makanan enak",pandang bagus makan enak,Positive
Good service and excellent Nice place,Pelayanan bagus dan tempatnya bagus sekali,layan bagus tempat bagus,Positive
"NASI GORENG DEU NYA ENAK BANGET 😭😭😭 demi apa ga boong, aku makannya sampe terharu. kok bisa seenak itu, tp ga abis soalnya porsi nasi gorengnya banyak banget. huee enakkk. terimakasih sudah menciptakan nasgor seenak ini. kopi nya juga enak. semua enaaakkkk. ga sia sia jauh jauh dr jakarta mampir kesini.","NASI GORENG DEU NYA ENAK BANGET 😭😭😭 demi apa ga boong, aku makannya sampe terharu. kok bisa seenak itu, tp ga abis soalnya porsi nasi gorengnya banyak banget. huh enakkk. terimakasih sudah menciptakan nasgor seenak ini. kopinya juga enak. semua enaaakkkk. ga sia sia jauh jauh dr jakarta mampir kesini.",nasi goreng deu nya enak banget bohong makan haru enak habis porsi nasi goreng banget huh enakkk terimakasih cipta nasgor enak kopi enak enaaakkkk sia sia jakarta mampir kesini,Positive
"tempat yang nyaman untuk berkumpul dengan teman ataupun keluarga. Makanannyaa enak enakk! i recommend you to try roasted chicken with mashed potatoes (i really love it). Pelayanannyaa juga super good! Especially Mas Andi, ramah, sopan, dan inisiatif✨ 100% will come back here😄","tempat yang nyaman untuk berkumpul bersama teman ataupun keluarga. Makanannya enak enakk! saya sarankan Anda mencoba ayam panggang dengan kentang tumbuk (saya sangat menyukainya). Pelayanannyaa juga super bagus! Terutama Mas Andi, ramah, sopan, dan inisiatif✨ 100% akan kembali lagi kesini😄",nyaman kumpul teman keluarga makan enak enakk saran coba ayam panggang kentang tumbuk suka pelayanannyaa super bagus mas andi ramah sopan inisiatif kesini,Positive
"the food is great! I recommend the roasted chicken with mashed potato 👌🏻 the service is 11/10, and the waitresses are very helpful. its a comfy place","Makanannya enak! Saya rekomendasikan ayam panggang dengan kentang tumbuk 👌🏻 Pelayanannya 11/10, dan pelayannya sangat membantu. Tempatnya nyaman",makan enak rekomendasi ayam panggang kentang tumbuk layan layan bantu tempat nyaman,Positive
mantapp pokonyaa (hafid),mantapp pokonyaa (hafid),mantap pokonyaa hafid,Positive
pelayanan dan makanan sangat rekomendasi (hafid),pelayanan dan makanan sangat rekomendasi (hafid),layan makan rekomendasi hafid,Positive
"minumannya enak, pelayannya juga okee bgttt (hafid)","minumannya enak, pelayannya juga okee bgttt (hafid)",minum enak layan okee banget hafid,Positive
Yesss aku sukaa semuanya nyaman banget buat kumpul2 ataupun me time (hapid),Yesss aku sukaa semuanya nyaman banget buat kumpul2 ataupun me time (hapid),yesss suka nyaman banget kumpul me time hapid,Positive
"Tempatnya nyaman rekomen banget buat nongkrong sama temen"" (hapid)","Tempatnya nyaman rekomen banget buat nongkrong sama temen"" (hapid)",tempat nyaman rekomen banget nongkrong teman hapid,Positive
"recommended buat nongkrong santai disini, pelayanan nya juga okk banget banget. buat kang Hafid juga super duper ramahhh ⭐️5","recomended buat nongkrong santai disini, pelayanannya juga okk banget banget. buat kang Hafid juga super duper ramahhh ⭐️5",recomended nongkrong santai layan okk banget banget kang hafid super duper ramahhh,Positive
"first time kesini langsung betah banget, kaya nya bakal jadi tempat nongkrong yang di datengin rutin deh, minuman sama makanan nya juga enak","first time kesini langsung betah banget, kaya nya bakal jadi tempat nongkrong yang di datengin rutin deh, minuman sama makanan nya juga enak",first time kesini langsung betah banget kayak nya nongkrong datengin rutin deh minum makan nya enak,Positive
"tempatnya nyaman banget, orang-orangnya juga ramah, dan gesit untuk pelayanannya.","tempatnya sangat nyaman, orang-orangnya juga ramah, dan gesit untuk pelayanannya.",tempat nyaman orang orang ramah gesit layan,Positive
"Enak banget buat nongkrong, the best!","Enak banget buat nongkrong, the best!",enak banget nongkrong the best,Positive
"pelayanan baik sma ka hafid,makanan oke,tempat strategis ,harga kantong mahasiswa rekomended banget guys🥰","pelayanan baik sma ka hafid,makanan oke,tempat strategis ,harga kantong pelajar rekomended banget guys🥰",layan kak hafid makan oke strategis harga kantong ajar rekomended banget guys,Positive
"Caffe yang nyaman buat menghabiskan waktu, makannyaa enakkkk, minumannya nyaaa menyegarkan (buat yang asem). Recomended!! 🫶🏻 kang Hafid mantap👊🏻👍🏻","Caffe yang nyaman buat menghabiskan waktu, makannyaa enakkkk, minumannya nyaaa menyegarkan (buat yang asem). Direkomendasikan!! 🫶🏻 kang Hafid mantap👊🏻👍🏻",caffe nyaman habis makannyaa enakkkk minum nya segar asem rekomendasi kang hafid mantap,Positive
"Tempat yang selalu enak buat nongki ngbrol enak sama temen2, makanan dan minuman juga enak, termasuk pelayanannya oleh kang hafids","Tempat yang selalu enak buat nongki ngbrol enak sama teman2, makanan dan minuman juga enak, termasuk pelayanannya oleh kang hafids",enak nongki ngbrol enak teman makan minum enak layan kang hafids,Positive
"tempatnya nyaman, makananya juga enak enakkk. churrosnya recomended bgt sihhh! juaraaaa!!! - Ka Hafid","tempatnya nyaman, makananya juga enak enakkk. churrosnya recomended bgt sihhh! juaraaaa!!! - Ka Hafid",tempat nyaman makananya enak enakkk churrosnya recomended banget sih juaraaaa kak hafid,Positive
"Coffe shop yg cozy di tengah kota bandung, makanannya enak”, makanan datengnya cepet, cafenya kekinian untuk pelayanannya jg cepat terlebih untuk waitress yg bernama hafid pelayanannya cekatan","Coffe shop yg nyaman di tengah kota bandung, makanannya enak”, makanan datengnya cepet, cafenya kekinian untuk pelayanannya jg cepat terlebih untuk pelayan yg bernama hafid pelayanannya cekatan",coffe shop nyaman kota bandung makan enak makan datengnya cepat cafenya kini layan cepat layan nama hafid layan cekat,Positive
Udahh jadi salah satu tempat fav buat nongs atau kerjaaa! Cozy🫶🏻 Coffee nya enakkkkk🫶🏻 Selalu jadi top of mind kalau lagi bingung mau ngops dimana🙌🏻 Hafid,Udahh jadi salah satu tempat favorit buat nongs atau kerjaaa! Cozy🫶🏻 Coffee nya enakkkkk🫶🏻 Selalu jadi top of mind kalau lagi bingung mau ngops dimana🙌🏻 Hafid,salah favorit nongs kerjaaa cozy coffee nya enak top of mind bingung ngops mana hafid,Positive
"Tempatnya pw enak buat nongkrong"" santai makanannya juga enak dan pelayananya juga baik","Tempatnya pw enak buat nongkrong"" makanannya santai juga enak dan pelayanannya juga baik",tempat pw enak nongkrong makan santai enak layan,Positive
tempat nya enak buat chil hafid,tempatnya enak buat chil hafid,tempat enak chil hafid,Positive
Pas bngt tempatnya buat dipake santai🤩,Pas bngt tempatnya buat dipake santai🤩,pas banget tempat pakai santai,Positive
"The drinks are superb, the food also great, shout out to hafid 🙌","Minumannya enak, makanannya juga enak, salut buat hafid 🙌",minum enak makan enak salut hafid,Positive
tempat nya nyaman untuk hangout bersama teman dan juga cukup nyaman untuk WFC - Hafid,tempatnya nyaman untuk hangout bersama teman dan juga cukup nyaman untuk WFC - Hafid,tempat nyaman hangout teman nyaman wfc hafid,Positive
kopinya enak sekali dan makanannya juga enak sangat recommended. pelayanannya cepat dan ramah. hafid,kopinya enak sekali dan makanannya juga enak sangat direkomendasikan. pelayanannya cepat dan ramah. hafid,kopi enak makan enak rekomendasi layan cepat ramah hafid,Positive
"Pelayanan + makanan 5/5, good service✨ baristanya jg pd baik esp kak hafid","Pelayanan+makanan 5/5, pelayanan bagus✨ baristanya jg pd baik esp kak hafid",layan makan layan bagus baristanya esp kak hafid,Positive
"nice view, great coffee!!! servicenya hafid baik bgt","pemandangan indah, kopi enak!!! servicenya hafid baik bgt",pandang indah kopi enak servicenya hafid banget,Positive
"pelayanan 5/5, damn makananan + coffe disini jg enak semua recomended!!💕✨ esp the staff (ka hafid) hihi","pelayanan 5/5, sialan makananan + kopi disini jg enak semua recomended!!💕✨ terutama stafnya (ka hafid) hihi",layan sial makananan kopi enak recomended staf kak hafid hihi,Positive
makanan dan minumaanyaaa enaak bangeeet! hawa pas malem jugaaa enak buat nongkrong lamaa. hafid,makanan dan minumananyaaa enaak bangeeet! hawa pas malem jugaaa enak buat nongkrong lamaa. hafid,makan minumananyaaa enaak banget hawa pas malam enak nongkrong lamaa hafid,Positive
"Tempat enak, makanan enak, lokasi strategis","Tempat enak, makanan enak, lokasi strategis",enak makan enak lokasi strategis,Positive
"mas deri baik banget, humoris banget, pelayanannnya baik banget pokonya best sii👍🏻👍🏻","mas deri baik banget, humoris banget, pelayanannnya baik banget pokonya best sii👍🏻👍🏻",mas deri banget humoris banget pelayanannnya banget pokok best sih,Positive
